date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:29	13/13	---M--	200	added ('OK')	text/plain	etag:%22d-598c4ee87c35f%22	http://web-factory.co.kr/robots.txt		(from )
18:57:29	30992/30992	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2009:57:28%20GMT	http://web-factory.co.kr/	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/index.html	(from )
18:57:30	29063/29063	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	C:/Users/SM2130/Desktop/jabda/factory/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from http://web-factory.co.kr/)
18:57:30	75963/75963	---M-Z	200	added ('OK')	text/css	etag:%22128bb-5a8f71274393a-gzip%22	http://web-factory.co.kr/public/css/animate.css	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/css/animate.css	(from http://web-factory.co.kr/)
18:57:31	8884/8884	---M-Z	200	added ('OK')	text/css	etag:%2222b4-5b2d95df9b535-gzip%22	http://web-factory.co.kr/public/css/base.css	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/css/base.css	(from http://web-factory.co.kr/)
18:57:31	8264/8264	---M-Z	200	added ('OK')	text/css	etag:%222048-5b357c6c3dbf5-gzip%22	http://web-factory.co.kr/public/css/layout.css	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/css/layout.css	(from http://web-factory.co.kr/)
18:57:31	61312/61312	---M-Z	200	added ('OK')	text/css	etag:%22ef80-5c5938509c714-gzip%22	http://web-factory.co.kr/public/css/webfactory.css	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/css/webfactory.css	(from http://web-factory.co.kr/)
18:57:32	2759/2759	---M-Z	200	added ('OK')	text/css	etag:%22ac7-5a7b0239c522a-gzip%22	http://web-factory.co.kr/public/css/webfactory2.css	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/css/webfactory2.css	(from http://web-factory.co.kr/)
18:57:32	4988/4988	---M-Z	200	added ('OK')	text/css	etag:%22137c-5b2d98ed06fe0-gzip%22	http://web-factory.co.kr/public/jquery/fullpage/fullpage.min.css	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/jquery/fullpage/fullpage.min.css	(from http://web-factory.co.kr/)
18:57:39	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%2254499a48-1762a%22	http://code.jquery.com/jquery-latest.min.js	C:/Users/SM2130/Desktop/jabda/factory/code.jquery.com/jquery-latest.min.js	(from http://web-factory.co.kr/)
18:57:39	6874/6874	---M-Z	200	added ('OK')	application/javascript	etag:%221ada-5a7a89095468b-gzip%22	http://web-factory.co.kr/public/jquery/basic/common.js	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/jquery/basic/common.js	(from http://web-factory.co.kr/)
18:57:40	15866/15866	---M-Z	200	added ('OK')	application/javascript	etag:%223dfa-5a7a890971b4b-gzip%22	http://web-factory.co.kr/public/jquery/basic/webfactory.js	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/jquery/basic/webfactory.js	(from http://web-factory.co.kr/)
18:57:42	52027/52027	---M-Z	200	added ('OK')	application/javascript	etag:%22cb3b-5a7a89095468b-gzip%22	http://web-factory.co.kr/public/jquery/basic/jquery.cycle.all.js	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/jquery/basic/jquery.cycle.all.js	(from http://web-factory.co.kr/)
18:57:43	8097/8097	---M-Z	200	added ('OK')	application/javascript	etag:%221fa1-5a7a89095f26b-gzip%22	http://web-factory.co.kr/public/jquery/basic/jquery.easing.1.3.js	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/jquery/basic/jquery.easing.1.3.js	(from http://web-factory.co.kr/)
18:57:44	2745/2745	---M-Z	200	added ('OK')	application/javascript	etag:%22ab9-5a7a89096214b-gzip%22	http://web-factory.co.kr/public/jquery/basic/jquery.slidy.min.js	C:/Users/SM2130/Desktop/jabda/factory/web-factory.co.kr/public/jquery/basic/jquery.slidy.min.js	(from http://web-factory.co.kr/)
